clock_name,description,modality,year,n_features,citation,doi
twelvecelldeconvolutebloodepicmono,12-cell EPIC deconvolution — monocyte proportion,methylation,2024,240,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
twelvecelldeconvolutebloodepicneu,12-cell EPIC deconvolution — neutrophil proportion,methylation,2024,240,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
twelvecelldeconvolutebloodepicnk,12-cell EPIC deconvolution — NK cell proportion,methylation,2024,240,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
twelvecelldeconvolutebloodepictreg,12-cell EPIC deconvolution — T-reg proportion,methylation,2024,240,"Ying, Kejun, et al. ""A unified framework for systematic curation and evaluation of aging biomarkers."" Nature Aging (2025): 1-17.",https://doi.org/10.1038/s43587-025-00987-y
yingadaptage,Causality-enriched clock — adaptive aging component,methylation,2024,1000,"Ying, Kejun, et al. ""Causality-enriched epigenetic age uncouples damage and adaptation."" Nature Aging (2024): 1-16.",https://doi.org/10.1038/s43587-023-00557-0
yingcausage,Causality-enriched composite epigenetic age,methylation,2024,586,"Ying, Kejun, et al. ""Causality-enriched epigenetic age uncouples damage and adaptation."" Nature Aging (2024): 1-16.",https://doi.org/10.1038/s43587-023-00557-0
yingdamage,Causality-enriched clock — damage aging component,methylation,2024,1090,"Ying, Kejun, et al. ""Causality-enriched epigenetic age uncouples damage and adaptation."" Nature Aging (2024): 1-16.",https://doi.org/10.1038/s43587-023-00557-0
zhangblup,"BLUP-based DNAm age (all ~320K CpGs, best prediction)",methylation,2019,319608,"Zhang, Qian, et al. ""Improved precision of epigenetic clock estimates across tissues and its implication for biological ageing."" Genome medicine 11 (2019): 1-11.",https://doi.org/10.1186/s13073-019-0667-1
zhangen,"Elastic net DNAm age predictor (Zhang 2019, 515 CpGs)",methylation,2019,515,"Zhang, Qian, et al. ""Improved precision of epigenetic clock estimates across tissues and its implication for biological ageing."" Genome medicine 11 (2019): 1-11.",https://doi.org/10.1186/s13073-019-0667-1
zhangmortality,11-CpG mortality predictor from blood,methylation,2017,11,"Zhang, Yan, et al. ""DNA methylation signatures in peripheral blood strongly predict all-cause mortality."" Nature communications 8.1 (2017): 14617.",https://doi.org/10.1038/ncomms14617
